name,url,type,relevance,domain_notes,submission_route,contact_route,status,owner,last_checked,notes
MQL5 Articles,https://www.mql5.com/en/articles,editorial_technical,high,"Large MetaTrader developer and trader audience. Technical articles are editorially reviewed.",Author account required,Site account only — no public editorial email found,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"Pitch drafted in mql5-pitch.md. Article must be genuinely educational; MetaTradee mentioned only as the author's context."
Tradeciety,https://tradeciety.com,editorial_outreach,high,"Established trading-education site that publishes tool round-ups.",Editorial pitch,Use the site's own contact form — do not guess an address,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"Pitch drafted in tradeciety-pitch.md. Inclusion in an existing comparison, not a paid placement."
HARO / Connectively,https://www.connectively.us,journalist_query,medium,"Journalist source requests. Wins depend on responding fast to a relevant query.",Source account,Platform only,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"No pitch file: HARO responses must answer a specific live query and cannot be pre-written."
Product Hunt,https://www.producthunt.com,launch_directory,high,"Launch platform. A live listing is a real, followed or nofollowed profile link.",Maker account required,Platform only,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"Full pack in product-hunt-pack.md. Requires a logged-in maker account; not attempted from this environment."
AlternativeTo,https://alternativeto.net,software_directory,high,"Software directory. Listings are user-submitted and moderated.",User account,Platform only,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"Pack in alternativeto-pack.md. Positioning must be factual — no invented comparison claims."
G2,https://www.g2.com,review_directory,medium,"B2B software reviews. Vendor profile claim requires business verification.",Vendor claim flow,Platform only,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"Never solicit or fabricate reviews. Profile creation only."
Crunchbase,https://www.crunchbase.com,company_directory,medium,"Company profile. Straightforward and durable.",Company profile flow,Platform only,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"Facts only: what the product does, when it launched. No funding claims unless true."
Capterra,https://www.capterra.com,review_directory,medium,"Software directory owned by Gartner. Vendor listing requires verification.",Vendor listing flow,Platform only,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"Category: Trading / Investment Management. No fabricated reviews, ever."
Forex Factory,https://www.forexfactory.com,community_forum,medium,"Very large forex community. Strongly anti-promotion.",Forum account with history,Platform only,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"Do NOT drop a link cold — it will be removed and the account flagged. Contribute first; link only where genuinely relevant."
NexusFi,https://nexusfi.com,community_forum,medium,"Futures trading community, formerly BigMike. Tool discussion is on-topic.",Forum account,Platform only,READY_FOR_MANUAL_SUBMISSION,unassigned,2026-08-09,"Same rule as Forex Factory: participate genuinely, disclose affiliation."
